student_id,bookstore_customer_id,department
411,34,General Studies
185,47,Applied Analytics
196,46,Applied Analytics
399,35,Applied Analytics
728,23,Applied Analytics
115,29,Applied Analytics
208,9,Applied Analytics
473,28,General Studies
263,31,General Studies
238,45,Applied Analytics
785,21,Applied Analytics
565,25,Applied Analytics
338,18,Applied Analytics
179,41,Applied Analytics
202,16,General Studies
113,33,Applied Analytics
361,43,Applied Analytics
334,49,General Studies
330,14,Applied Analytics
107,6,Applied Analytics
